,Date,HPA,HPD,Cie,Ligne,Esc 1,Immat,Type app,PKG,Remarque,Comment,Terminal,DATETIME,Graph_intervale,Brigade
149,2022-04-10,,13:15:00,THY,652,,A321,IST,P2,DECOLLE 13:01,66 PX,T2,2022-04-10 13:15:00,"[6554, 6556]",Journee
150,2022-04-10,13:40:00,,DAH,6059,7TVJU,B736,GJL,P18,ARRIVE 13:30,101 PX,T2,2022-04-10 13:40:00,"[6579, 6581]",Journee
151,2022-04-10,14:00:00,,DAH,6277,7TVUM,ATR72,MZW,PA1,ARRIVE 13:50,,T2,2022-04-10 14:00:00,"[6599, 6601]",Journee
152,2022-04-10,,14:00:00,DTH,1860,7TVCT,B738,ORN,PA1,DECOLLE 14:10,,T2,2022-04-10 14:00:00,"[6599, 6601]",Journee
153,2022-04-10,14:05:00,,SVA,341,,B777,JED,P3B,ARRIVE 14:47,80 PX,T1,2022-04-10 14:05:00,"[6601, 6609]",Journee
154,2022-04-10,14:15:00,,DAH,6157,7TVKI,B738,TMX,PA1,ARRIVE 14:05,48 PX,T2,2022-04-10 14:15:00,"[6614, 6616]",Journee
155,2022-04-10,,14:30:00,DAH,6194,7TVKE,B738,CZL,P11A,DECOLLE 14:22,53 PX,T2,2022-04-10 14:30:00,"[6629, 6631]",Journee
156,2022-04-10,,14:30:00,DAH,6176,7TVKD,B738,AAE,P10C,DECOLLE 14:40,TRACTAGE/93 PX,T2,2022-04-10 14:30:00,"[6629, 6631]",Journee
157,2022-04-10,14:50:00,,DTH,1321,7TVCD,B738,IAM,PA1,ARRIVE 13:55,,T2,2022-04-10 14:50:00,"[6649, 6651]",Journee
158,2022-04-10,14:50:00,,DTH,1525,7TVCM,DH8D,HRM,PA1,ARRIVE 14:45,,T2,2022-04-10 14:50:00,"[6649, 6651]",Journee
159,2022-04-10,14:55:00,,DAH,6143,7TVJL,B738,AZR,PA1,ARRIVE 14:50,122 PX,T2,2022-04-10 14:55:00,"[6654, 6656]",Journee
160,2022-04-10,,15:00:00,DTH,2110,7TVCE,B738,CZL,PA1,DECOLLE 14:50,13 PX,T2,2022-04-10 15:00:00,"[6659, 6661]",Journee
161,2022-04-10,,15:05:00,DAH,5010,7TVJU,B736,DSS,P18,DECOLLE 14:45,AH6059 GJL 13H40/11 PX,T4,2022-04-10 15:05:00,"[6660, 6670]",Journee
162,2022-04-10,15:10:00,,DAH,1011,7TVJV,A330,ORY,P25B,ARRIVE 15:47,259 PX,T4,2022-04-10 15:10:00,"[6665, 6675]",Journee
